iteration,n_features,removed,class_0_AUROC,class_1_AUROC,class_2_AUROC,macro_AUROC,micro_AUROC,timestamp
32,54,ANC,0.8486735847792936,0.8584484288158251,0.7678356669922934,0.8249858935291373,0.9714308656143534,2025-07-20T13:44:09.948655
33,53,SD_LALS_LY,0.8469264543749743,0.8580404683094907,0.764647780310431,0.8232049009982987,0.971206427172618,2025-07-20T13:57:44.598386
34,52,MN_LALS_EO,0.8487859601038619,0.8598906614365358,0.7686616737219146,0.8257794317541042,0.9715788639895085,2025-07-20T14:10:45.100295
35,51,MO_count,0.849439604541895,0.8593943309361901,0.7720536198849453,0.8269625184543434,0.9716271612568014,2025-07-20T14:23:17.776801
36,50,SD_UMALS_NE,0.8466279674813502,0.8569156812983355,0.7663421252577879,0.8232952580124913,0.9711935570833298,2025-07-20T14:35:28.852375
37,49,PLT,0.8454478655772162,0.8556471858017733,0.762231629219581,0.8211088935328569,0.9708993661243824,2025-07-20T14:47:10.274797
38,48,SD_MALS_LY,0.8458580838107407,0.8537605293276846,0.7735135135135135,0.8243773755506463,0.9711474787969487,2025-07-20T14:58:18.774358
39,47,SD_AL2_NE,0.8453863650414211,0.8531355046613027,0.7730022793878215,0.8238413830301817,0.9710376928034257,2025-07-20T15:09:06.237366
40,46,SD_AL2_EO,0.8452131331657255,0.8560564332497679,0.7670715293606859,0.8227803652587266,0.9709882783940186,2025-07-20T15:19:27.685589
41,45,SD_UMALS_MO,0.8469322502369864,0.8571730696304075,0.7698491262346684,0.8246514820340208,0.9712500722316546,2025-07-20T15:29:27.284001
42,44,MN_UMALS_MO,0.8477819880064296,0.8573172070963678,0.7711299251058288,0.8254097067362087,0.9713546704008393,2025-07-20T15:38:59.817759
43,43,SD_MALS_NE,0.850229129744879,0.8557355557957846,0.7768110278953652,0.8275919044786763,0.9716236261906593,2025-07-20T15:48:14.792285
44,42,SD_MALS_MO,0.843747746053662,0.8501309248649142,0.7764365570389667,0.823438409319181,0.9708410145780619,2025-07-20T15:57:05.967895
45,41,MN_LMALS_MO,0.8457804836582451,0.8526494696942398,0.7759448605231737,0.8247916046252195,0.9710951720606981,2025-07-20T16:05:36.573741
46,40,SD_UMALS_LY,0.8468504641841488,0.8544477561743171,0.7809909909909909,0.8274297371164856,0.9713735087836141,2025-07-20T16:13:53.670490
47,39,MN_LMALS_NE,0.8440552487326383,0.8544224463216633,0.7765820036904374,0.8250198995815797,0.971151595389123,2025-07-20T16:21:45.259652
48,38,SD_LMALS_EO,0.8459508176029346,0.8554773095026058,0.7750689243460327,0.8254990171505243,0.9713027768541377,2025-07-20T16:29:19.918880
49,37,SD_MALS_EO,0.8447465662737501,0.8529115768123999,0.7758515141647672,0.8245032190836391,0.9710212264347288,2025-07-20T16:36:27.816194
50,36,MN_UMALS_EO,0.8456471788319664,0.8545361261683285,0.7788961250407034,0.826359810013666,0.9713289149189462,2025-07-20T16:43:07.472962
51,35,SD_V_LY,0.8481819024852657,0.8554854601331213,0.7748811462064474,0.8261828362749449,0.971340882112553,2025-07-20T16:49:31.957342
52,34,LY_count,0.849731007604171,0.8592223097342551,0.778108108108108,0.8290204751488446,0.9717188740333812,2025-07-20T16:55:39.717834
53,33,Aty_Lym,0.848300717656514,0.8573571022878389,0.7755465103657875,0.82706811010338,0.9715958659742873,2025-07-20T17:01:25.705164
54,32,LY,0.8464106226558957,0.8542079560449365,0.7765364159340065,0.8257183315449462,0.9714081095825206,2025-07-20T17:06:58.998299
55,31,SD_UMALS_EO,0.8498292152660429,0.8571057196835153,0.7673233474438294,0.8247527607977959,0.9714170467194342,2025-07-20T17:12:18.708756
56,30,MN_MALS_NE,0.8519430949387956,0.8601703567573874,0.7670639314012807,0.826392461032488,0.971637093109296,2025-07-20T17:17:28.826416
57,29,MN_AL2_MO,0.8491630131269834,0.8557381296791056,0.7791186367089982,0.8280065931716957,0.9716187291293369,2025-07-20T17:22:25.745833
58,28,MN_LMALS_EO,0.8472407188929646,0.8567033359243759,0.7736122869857811,0.8258521139343739,0.9714397415380005,2025-07-20T17:27:03.809821
59,27,SD_AL2_LY,0.8488703220953715,0.8559045741338454,0.7785042874199501,0.8277597278830556,0.9716027830734055,2025-07-20T17:31:33.173112
60,26,MN_UMALS_LY,0.8485319081523307,0.8555305030912339,0.7794800824921307,0.8278474979118985,0.9715594440807014,2025-07-20T17:35:47.175527
61,25,RBC,0.8475852506903516,0.8557188255541999,0.7711017041137523,0.8248019267861012,0.9713285476393471,2025-07-20T17:39:48.597136
62,24,Myelocyte,0.8487463550467791,0.8560928965968114,0.7735189406273743,0.826119397423655,0.9714572026222784,2025-07-20T17:43:34.334333
63,23,BLAST,0.8451416508675762,0.855473877658178,0.7715445566047976,0.8240533617101841,0.97124309391927,2025-07-20T17:47:06.587262
64,22,MN_UMALS_NE,0.8484314465441206,0.8545399869933096,0.7728785411917943,0.8252833249097415,0.971337882662493,2025-07-20T17:50:29.488362
65,21,MN_MALS_MO,0.8466405251823765,0.8547188718840999,0.775523716487572,0.8256277045180161,0.9713317613358398,2025-07-20T17:53:41.413689
66,20,MN_LALS_LY,0.8478434885422248,0.851630211899234,0.7748203625312059,0.824764687657555,0.9711592929573893,2025-07-20T17:56:40.245605
67,19,Promyelocyte,0.8465561631908667,0.8512509930899813,0.7808661673721915,0.8262244412176797,0.9712118292433894,2025-07-20T17:59:28.556457
68,18,WBC,0.8475002447141738,0.8519974192529904,0.7681699772061218,0.8225558803910954,0.9709910023843792,2025-07-20T18:02:05.258212
69,17,MN_LALS_MO,0.8449169002184397,0.8499824975934189,0.7714316726364919,0.8221103568161169,0.9707906972729734,2025-07-20T18:04:31.310523
70,16,MN_V_NE,0.8433388157894737,0.8492845462329502,0.7687202865516118,0.8204478828580118,0.9706546354847918,2025-07-20T18:06:47.393189
71,15,MN_MALS_LY,0.8420382887524213,0.8474485094641689,0.7675914468685553,0.8190260816950485,0.970449800591663,2025-07-20T18:08:52.629157
72,14,MN_V_MO,0.8428992962535549,0.8505817834265937,0.7626657983284489,0.8187156260028657,0.9704512391034263,2025-07-20T18:10:49.636821
73,13,MCHC,0.8403259335201747,0.8471851154043485,0.7675979594051884,0.8183696694432373,0.9703585010046322,2025-07-20T18:12:36.587038
74,12,SD_LALS_MO,0.835439055866958,0.8386269533629501,0.7661879952241398,0.8134180014846827,0.9695379983800521,2025-07-20T18:14:15.811056
75,11,SD_AL2_MO,0.83633773647117,0.8385960667631015,0.760742429176164,0.8118920774701452,0.9693749721479636,2025-07-20T18:15:45.794889
76,10,SD_C_NE,0.8341826417796645,0.8399679465730461,0.7578183002279388,0.8106562961935498,0.9693922648957586,2025-07-20T18:17:06.173090
